Reason for Credit Entry,Sub Order No,Order Date,Customer State,Product Name,SKU,Size,Quantity,Supplier Listed Price (Incl. GST + Commission),Supplier Discounted Price (Incl GST and Commision)
CANCELLED,740916316710_1,28-08-2022,Bihar,top & bottom set,akshar 1090,L,1,1400,1400
DELIVERED,397474434265_1,28-08-2022,Rajasthan,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414,414
CANCELLED,687987764507_1,28-08-2022,Delhi,Kurta Sets ,45678,M,1,500,500
CANCELLED,277771506559_1,28-08-2022,Bihar,top & bottom set,akshar 1090,XL,1,1400,1400
DELIVERED,828865464829_1,28-08-2022,West Bengal,top & bottom set,akshar 1090,L,1,1400,1400
CANCELLED,855547223698_1,28-08-2022,Bihar,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400,1344
DELIVERED,810704930357_1,28-08-2022,Jammu & Kashmir,Stylish navratri wear gown,Hk1464,XXL,1,1500,1350
DELIVERED,349165630963_1,28-08-2022,Uttarakhand,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,533392281431_1,28-08-2022,Odisha,top & bottom set,akshar 1090,L,1,1400,1400
DELIVERED,676702704307_1,28-08-2022,Bihar,top & bottom set,akshar 1090,XXL,1,1400,1400
CANCELLED,817910898905_1,28-08-2022,Bihar,top & bottom set,akshar 1090,L,1,1400,1400
DELIVERED,654530604117_1,28-08-2022,Odisha,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XL,1,1300,1300
CANCELLED,952025308658_1,28-08-2022,Andaman and Nicobar Islands,top & bottom set,akshar 1090,XXL,1,1400,1400
