Reason for Credit Entry,Sub Order No,Order Date,Customer State,Product Name,SKU,Size,Quantity,Supplier Listed Price (Incl. GST + Commission),Supplier Discounted Price (Incl GST and Commision)
DELIVERED,115964435613_1,13-08-2022,Jammu & Kashmir, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1311,1311
CANCELLED,323608154730_1,13-08-2022,Orissa,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 maroon,Semi Stitched,1,1999,1999
DELIVERED,641300392975_1,13-08-2022,odisha, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350,1350
RTO_COMPLETE,803963214519_1,13-08-2022,Delhi,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400,1400
DELIVERED,248244279818_1,13-08-2022,Gujarat,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400,1400
CANCELLED,426590723490_1,14-08-2022,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
CANCELLED,263871865116_1,14-08-2022,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
CANCELLED,520331241821_1,14-08-2022,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,5,1350,1350
CANCELLED,884057591159_1,14-08-2022,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
CANCELLED,593818076639_1,14-08-2022,Bihar,top & bottom set,akshar 1090,XXL,1,1368,1368
CANCELLED,400915987718_1,14-08-2022,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,5,1350,1350
DELIVERED,315389638702_1,14-08-2022,Tamil Nadu,Kurta Sets ,45678,XXL,1,500,500
RTO_COMPLETE,395369627755_1,14-08-2022,Andhra Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350,1350
DELIVERED,473722759765_1,14-08-2022,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350,1350
CANCELLED,624275479819_1,14-08-2022,Nehru.   Colony.,top & bottom set,akshar 1090,M,1,1400,1400
DELIVERED,912010011757_1,15-08-2022,State Bank Of India, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
RTO_COMPLETE,486842794529_1,15-08-2022,Delhi,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 lavender,Semi Stitched,1,1999,1999
